英語,日本語,品詞,例文英語１,例文日本語１,例文英語2,例文日本語2,例文英語3,例文日本語3,例文英語4,例文日本語4,last_learned_date,mistake_count,correct_count
adopt,"を自分のものにする,を取り入れる",動詞,They decided to adopt a child.,彼らは子供を養子に迎えることに決めた。,The company adopted a new marketing strategy.,その会社は新しいマーケティング戦略を取り入れた。,We should adopt a more positive attitude.,私たちはもっと前向きな態度を取り入れるべきだ。,He adopted a new way of life.,彼は新しい生活様式を取り入れた。,,0,0
decrease,"減少する,を減らす/減少","動詞,名詞",The population of the town has decreased.,その町の人口は減少した。,We need to decrease our spending.,私たちは支出を減らす必要がある。,There has been a decrease in crime recently.,最近、犯罪が減少している。,The company reported a decrease in profits.,その会社は利益の減少を報告した。,,0,0
witness,"目撃者,証人/を目撃する","名詞,動詞",He was a witness to the crime.,彼はその犯罪の目撃者だった。,She was called to witness the signing of the will.,彼女は遺言への署名に立ち会うよう呼ばれた。,I can witness that he is a man of good character.,彼が善良な人格の持ち主であることを私は証言できる。,The beautiful scenery was a witness to their happiness.,その美しい風景は彼らの幸福の証人だった。,,0,0
make sure,"を確かめる,必ず手配する",熟語,Make sure you turn off the lights before you leave.,出かける前に必ず電気を消してください。,I want to make sure I have all the necessary documents.,必要な書類がすべて揃っているか確かめたい。,Please make sure you arrive on time.,時間通りに到着するようにしてください。,She called the restaurant to make sure of her reservation.,彼女は予約を確認するためにレストランに電話した。,,0,0
frequent,"頻繁な,しばしば起こる",形容詞,He is a frequent visitor to this library.,彼はこの図書館の常連です。,I have frequent headaches.,私は頻繁に頭痛がする。,This is a frequent mistake among beginners.,これは初心者の間でよくある間違いです。,They have frequent arguments about money.,彼らは頻繁にお金のことで口論する。,,0,0
satisfy,"を満足させる,を喜ばせる",動詞,The result did not satisfy him.,その結果は彼を満足させなかった。,We must satisfy the needs of our customers.,我々は顧客のニーズを満たさなければならない。,This meal should satisfy your hunger.,この食事はあなたの空腹を満たすはずだ。,I am not satisfied with your explanation.,私はあなたの説明に満足していない。,,0,0
complete,"完全な,全部の",形容詞,The project is now complete.,プロジェクトは現在完了しています。,Please fill out this complete form.,この完全なフォームに記入してください。,He is a complete stranger to me.,彼は私にとって全くの見知らぬ人だ。,The book is a complete guide to the city.,その本はその都市の完全なガイドブックだ。,,0,0
participate in,"に参加する,に加わる",熟語,She did not participate in the discussion.,彼女はその議論に参加しなかった。,Everyone is welcome to participate in the event.,どなたでもイベントへの参加を歓迎します。,He will participate in the marathon next month.,彼は来月そのマラソンに参加する予定だ。,How many people participated in the survey?,何人がその調査に参加しましたか？,,0,0
previously,"以前は,前もって",副詞,She was previously a teacher.,彼女は以前は教師だった。,The house was previously owned by a famous actor.,その家は以前、有名な俳優が所有していた。,"As I mentioned previously, the meeting has been postponed.",以前申し上げた通り、会議は延期になりました。,He had previously worked in the sales department.,彼は以前、営業部で働いていた。,,0,0
waste,"を浪費する/浪費,廃棄物","動詞,名詞",Don't waste your money on such things.,そんなものにお金を浪費するな。,It's a waste of time to argue with him.,彼と議論するのは時間の無駄だ。,We should reduce the amount of waste we produce.,私たちは出すゴミの量を減らすべきだ。,The factory produces a lot of industrial waste.,その工場は多くの産業廃棄物を出す。,,0,0
accurate,"正確な,的確な",形容詞,This watch is very accurate.,この時計は非常に正確だ。,We need to have accurate information.,我々は正確な情報を持つ必要がある。,The newspaper gave an accurate report of the accident.,その新聞は事故について正確な報道をした。,His description of the event was not entirely accurate.,その出来事に関する彼の説明は完全に正確ではなかった。,,0,0
bank account,"銀行口座,貯金口座",熟語,I need to open a bank account.,私は銀行口座を開設する必要がある。,He transferred the money to my bank account.,彼は私に銀行口座にお金を振り込んだ。,How much money do you have in your bank account?,あなたの銀行口座にはいくらお金がありますか？,I forgot my bank account password.,銀行口座のパスワードを忘れてしまった。,,0,0
enlarge,"を拡大する,を広げる",動詞,I need to enlarge this photograph.,私はこの写真を拡大する必要がある。,They are planning to enlarge their house.,彼らは家を増築する計画だ。,The company decided to enlarge its business.,その会社は事業を拡大することを決定した。,Click on the image to enlarge it.,画像を拡大するにはクリックしてください。,,0,0
available,"利用できる,使用可能な",形容詞,This information is available to everyone.,この情報は誰でも利用できる。,Are there any tickets available for tonight's show?,今夜のショーのチケットはありますか？,The new software will be available next month.,新しいソフトウェアは来月利用可能になる。,I am available to meet you tomorrow afternoon.,明日の午後、お会いできます。,,0,0
accidentally,"誤って,知らずに",副詞,I accidentally deleted the file.,私は誤ってファイルを削除してしまった。,She accidentally broke the vase.,彼女は誤って花瓶を割ってしまった。,He accidentally took the wrong train.,彼は誤って違う電車に乗ってしまった。,I accidentally stepped on her foot.,私は誤って彼女の足を踏んでしまった。,,0,0
increase,"を増やす,増大させる",動詞,The company decided to increase the price of its products.,その会社は製品の価格を上げることを決定した。,We need to increase our sales.,私たちは売上を増やす必要がある。,The population of the city has increased rapidly.,その都市の人口は急速に増加した。,Exercise can increase your energy levels.,運動はあなたのエネルギーレベルを高めることができる。,,0,0
appointment,"予定,約束",名詞,I have an appointment with the doctor at 3 p.m.,私は午後3時に医者の予約がある。,She had to cancel her appointment.,彼女は予約をキャンセルしなければならなかった。,I would like to make an appointment to see Mr. Smith.,スミスさんにお会いする予約を取りたいのですが。,He wrote down the appointment in his diary.,彼は手帳にその約束を書き留めた。,,0,0
take after,"をまねる,に似る",熟語,She takes after her mother.,彼女は母親に似ている。,He takes after his father in his love of music.,彼は音楽好きの点で父親に似ている。,The boy takes after his grandfather's stubbornness.,その少年は祖父の頑固さに似ている。,Who do you take after in your family?,あなたは家族の中で誰に似ていますか？,,0,0
hear from,"から便りがある,連絡をもらう",熟語,I haven't heard from him for a long time.,私は彼から長い間便りがない。,I was so happy to hear from you.,あなたから連絡をもらえてとても嬉しかった。,Have you heard from her recently?,最近、彼女から連絡はありましたか？,I hope to hear from you soon.,近いうちにご連絡いただけることを願っています。,,0,0
statistics,"統計,数字",名詞,"According to the statistics, the crime rate has decreased.",統計によると、犯罪率は減少している。,The government has released the latest unemployment statistics.,政府は最新の失業統計を発表した。,Statistics can be misleading.,統計は誤解を招くことがある。,He is studying statistics at university.,彼は大学で統計学を勉強している。,,0,0
in demand,"需要のある,求められる",熟語,This product is in great demand.,この製品は大きな需要がある。,Good programmers are always in demand.,優秀なプログラマーは常に求められている。,Organic food is becoming more and more in demand.,オーガニック食品の需要はますます高まっている。,Her skills are in high demand in the industry.,彼女のスキルはその業界で非常に需要がある。,,0,0
at any cost,"どんな犠牲を払っても,何がなんでも",熟語,He was determined to win at any cost.,彼はどんな犠牲を払っても勝つと決心していた。,We must protect our country at any cost.,我々はどんな犠牲を払っても国を守らなければならない。,She wanted to get the job at any cost.,彼女は何がなんでもその仕事に就きたかった。,They tried to save the company at any cost.,彼らはどんな犠牲を払っても会社を救おうとした。,,0,0
sight,"見ること,視力",名詞,The sight of the ocean was beautiful.,海の光景は美しかった。,He lost his sight in an accident.,彼は事故で視力を失った。,The castle is a famous sight in this town.,その城はこの町で有名な名所だ。,"At first sight, the problem seemed easy.",一見したところ、その問題は簡単に思えた。,,0,0
luxury,贅沢な/贅沢,"名詞,形容詞",He lives in luxury.,彼は贅沢に暮らしている。,A trip to Europe is a luxury for me.,ヨーロッパ旅行は私にとって贅沢だ。,This is a luxury hotel with a spa and a swimming pool.,これはスパとプール付きの豪華なホテルだ。,She bought a luxury car with her bonus.,彼女はボーナスで高級車を買った。,,0,0
attitude,"態度,姿勢",名詞,He has a positive attitude towards his work.,彼は仕事に対して前向きな姿勢を持っている。,I don't like your attitude.,あなたのその態度は気に入らない。,A change in attitude is needed to solve this problem.,この問題を解決するには態度の変化が必要だ。,She has a very friendly and open attitude.,彼女はとてもフレンドリーでオープンな態度だ。,,0,0
related to,"に関連する,に関わる",熟語,The two incidents are related to each other.,その2つの事件は互いに関連している。,I am looking for a job related to marketing.,私はマーケティングに関連する仕事を探している。,This book is related to the history of Japan.,この本は日本の歴史に関連している。,Do you have any questions related to this topic?,このトピックに関連する質問はありますか？,,0,0
quarrel,"喧嘩,口論,言い争い",名詞,They had a quarrel about money.,彼らは金銭のことで口論した。,I don't want to have a quarrel with you.,私はあなたと喧嘩したくない。,The children are always having quarrels.,その子供たちはいつも喧嘩ばかりしている。,The quarrel was settled without any problems.,その喧嘩は問題なく解決した。,,0,0
have effects on,"に影響を与える,に作用する",熟語,Smoking has effects on your health.,喫煙は健康に影響を与えます。,The new law will have effects on the economy.,新しい法律は経済に影響を与えるだろう。,Lack of sleep has effects on your ability to concentrate.,睡眠不足は集中力に影響を与えます。,His speech had great effects on the audience.,彼のスピーチは聴衆に大きな影響を与えた。,,0,0
comfortable,"心地の良い,快適な",形容詞,This sofa is very comfortable.,このソファはとても快適です。,I don't feel comfortable in high heels.,ハイヒールは履き心地が良くない。,Please make yourself comfortable.,どうぞおくつろぎください。,She has a comfortable life.,彼女は快適な生活を送っている。,,0,0
certainly,"確かに,間違いなく",副詞,I will certainly be there.,私は確かにそこにいます。,He is certainly a talented artist.,彼は間違いなく才能のある芸術家だ。,This is certainly the best cake I've ever had.,これは確かに今まで食べた中で最高のケーキだ。,She will certainly succeed.,彼女は間違いなく成功するだろう。,,0,0
composer,"作曲,楽曲制作",名詞,Mozart is a famous composer.,モーツァルトは有名な作曲家です。,He is a composer of film music.,彼は映画音楽の作曲家だ。,The composer is working on a new symphony.,その作曲家は新しい交響曲に取り組んでいる。,She wants to be a composer in the future.,彼女は将来、作曲家になりたいと思っている。,,0,0
in common,"共通して,一般的に",熟語,We have a lot in common.,私たちには共通点がたくさんある。,They have nothing in common.,彼らには共通点が何もない。,What do the two countries have in common?,その2つの国にはどのような共通点がありますか？,The brothers have a love of music in common.,その兄弟は音楽好きという共通点がある。,,0,0
confuse,"を混乱させる,区別がつかない",動詞,Don't confuse me with your questions.,あなたの質問で私を混乱させないでください。,I always confuse him with his twin brother.,私はいつも彼と彼の双子の兄弟を混同してしまう。,The similar-looking streets confused the tourists.,似たような通りが観光客を混乱させた。,The instructions were so confusing that I couldn't understand them.,指示がとても紛らわしくて、理解できなかった。,,0,0
graduate,"を卒業する,を修了する",動詞,She will graduate from university next year.,彼女は来年大学を卒業する。,He graduated with a degree in economics.,彼は経済学の学位を取得して卒業した。,"After graduating, she started working for a bank.",卒業後、彼女は銀行で働き始めた。,What do you want to do after you graduate?,卒業後は何をしたいですか？,,0,0
replacement,"置換,代替",名詞,We need to find a replacement for the broken part.,私たちは壊れた部品の交換品を見つける必要がある。,The team is looking for a replacement for their injured player.,そのチームは負傷した選手の代わりを探している。,There is no replacement for a mother's love.,母親の愛に代わるものはない。,The replacement of the old system will be expensive.,古いシステムの交換には費用がかかるだろう。,,0,0
deceive,"を欺く,をだます",動詞,He deceived her into giving him money.,彼は彼女をだましてお金を出させた。,Don't be deceived by his friendly smile.,彼の親しみやすい笑顔にだまされてはいけない。,The company was accused of deceiving its customers.,その会社は顧客を欺いたとして非難された。,Appearances can be deceiving.,見かけは当てにならないことがある。,,0,0
in the meantime,"とりあえず,それまでは",熟語,"The new computer will arrive next week. In the meantime, we can use the old one.",新しいコンピュータは来週届きます。それまでは、古いのを使いましょう。,"Dinner will be ready in an hour. In the meantime, you can watch TV.",夕食は1時間でできます。それまでは、テレビを見ていてください。,"I'm waiting for my friend to arrive. In the meantime, I'll read a book.",友達が来るのを待っています。それまでは、本を読んでいます。,"The meeting will start at 3 p.m. In the meantime, let's have some coffee.",会議は午後3時に始まります。それまでは、コーヒーでも飲みましょう。,,0,0
betray,"を裏切る,をだます",動詞,He betrayed his country by selling secrets to the enemy.,彼は敵に秘密を売って国を裏切った。,She felt betrayed by her best friend.,彼女は親友に裏切られたと感じた。,I would never betray your trust.,私は決してあなたの信頼を裏切らない。,He betrayed his principles for money.,彼はお金のために自分の主義を裏切った。,,0,0
